SKU,Name,Brand,Category,Price,Cost Price,Description,Image URL,Stock,Tags
"777284","BLACK HAIR PINS","BLACK","Hair Care","0.5","0.25886","BLACK HAIR PINS - Premium quality beauty product","","100","Hair Care, BLACK"
"777377","URINE BAG (2000ML)","URINE","Personal Care","0.85","0.259","URINE BAG (2000ML) - Premium quality beauty product","","100","Personal Care, URINE"
"777332","ALFAREP INSECT REPELLENT","ALFAREP","Personal Care","4.35","2.051","ALFAREP INSECT REPELLENT - Premium quality beauty product","","100","Personal Care, ALFAREP"
"773322222","ENTEROLACTIS 30 CAP","ENTEROLACTIS","Personal Care","23","15.862","ENTEROLACTIS 30 CAP - Premium quality beauty product","","100","Personal Care, ENTEROLACTIS"
"772","TOMATO SUPER CAST","TOMATO","Personal Care","3","2.051","TOMATO SUPER CAST - Premium quality beauty product","","100","Personal Care, TOMATO"
"77277","I MED UNDERPAD BED SHEET","Generic","Personal Care","10","1.781","I MED UNDERPAD BED SHEET - Premium quality beauty product","","100","Personal Care, Generic"
"777837229249","BIOLIFE BITTER ALMOND OIL 50ML","BIOLIFE","Hair Care","2.5","0.888","BIOLIFE BITTER ALMOND OIL 50ML - Premium quality beauty product","","100","Hair Care, BIOLIFE"
"737383722327","PALMERS OLIVE OIL FORMULA","Palmers","Hair Care","3","2.06","PALMERS OLIVE OIL FORMULA - Premium quality beauty product","","100","Hair Care, Palmers"
"737383722396","PALMERS OLIVE OIL COND 400 ML","Palmers","Hair Care","9.75","4.48667","PALMERS OLIVE OIL COND 400 ML - Premium quality beauty product","","100","Hair Care, Palmers"
"737383722622","PALMER-S OLIVE OIL BODY LOTION PUMP (400ML)","PALMER","Skin Care","10","6.84","PALMER-S OLIVE OIL BODY LOTION PUMP (400ML) - Premium quality beauty product","","100","Skin Care, PALMER"
"737383722867","PALMERS OLIVE BUTTER LOTION 50ML","Palmers","Skin Care","1.9","1.08333","PALMERS OLIVE BUTTER LOTION 50ML - Premium quality beauty product","","100","Skin Care, Palmers"
"737383733322","PALMER-S COCONUT OIL PROTIN PACK (60 GM)","PALMER","Hair Care","3","1.72525","PALMER-S COCONUT OIL PROTIN PACK (60 GM) - Premium quality beauty product","","100","Hair Care, PALMER"
"737383732374","PALMERS STRONG ROOTS SPARY","Palmers","Personal Care","9.5","5.603","PALMERS STRONG ROOTS SPARY - Premium quality beauty product","","100","Personal Care, Palmers"
"737383732373","PALMERS COCONUT OIL SHAMPOO 400 ML","Palmers","Hair Care","9.75","6.009","PALMERS COCONUT OIL SHAMPOO 400 ML - Premium quality beauty product","","100","Hair Care, Palmers"
"737383743287","PALMERS SKIN THERAPY ROSEHIP FRAGRANCE OIL","Palmers","Skin Care","18","12.3","PALMERS SKIN THERAPY ROSEHIP FRAGRANCE OIL - Premium quality beauty product","","100","Skin Care, Palmers"
"737383743622","PALMER-S HEALS SOFTENS LOTION PUMP (400ML)","PALMER","Skin Care","11","3.76","PALMER-S HEALS SOFTENS LOTION PUMP (400ML) - Premium quality beauty product","","100","Skin Care, PALMER"
"737383743737","PALMERS SKIN THERAPY FACIAL OIL (30 ML)","Palmers","Skin Care","18","12.3","PALMERS SKIN THERAPY FACIAL OIL (30 ML) - Premium quality beauty product","","100","Skin Care, Palmers"
"737383743893","PALMERS COCOA BUTTER FORMULA BODY LOTION 400 ML","Palmers","Skin Care","14.95","10.31","PALMERS COCOA BUTTER FORMULA BODY LOTION 400 ML - Premium quality beauty product","","100","Skin Care, Palmers"
"737383743938","PALMERS COCOA BUTTER FOOT MAGIC (60 GM)","Palmers","Body Care","8.75","4.942","PALMERS COCOA BUTTER FOOT MAGIC (60 GM) - Premium quality beauty product","","100","Body Care, Palmers"
"737383744397","PALMERS INTENSIVE RELIEF HAND CREAM (60G)","Palmers","Skin Care","5.95","3.796","PALMERS INTENSIVE RELIEF HAND CREAM (60G) - Premium quality beauty product","","100","Skin Care, Palmers"
"737383742738","PALMERS CBF COCOA BODY SCRUB","Palmers","Skin Care","11.5","7.86","PALMERS CBF COCOA BODY SCRUB - Premium quality beauty product","","100","Skin Care, Palmers"
"737383747824","PALMERS BIOTIN PACK","Palmers","Health & Supplements","3","2.009","PALMERS BIOTIN PACK - Premium quality beauty product","","100","Health & Supplements, Palmers"
